SNO.,ROLL NUMBER,Q1 (5),Q2 (5),Q3 (5),Q4 (5),Q5 (5),Q6 (5),Q7 (5),Q8 (5),Q9 (5),Q10 (5),Q11 (5),Q12 (5),Top 9 (out of 45),Out of 30
148,102383004,5,5,5,5,3,5,5,3,5,5,5,5,45,30.0
149,102383005,5,5,4,AB,4,5,4,3,4,5,4,4,40,26.7
150,102383006,5,4,5,4,3,5,AB,4,5,5,4,5,42,28.0
151,102383014,5,4,5,2,1,4,5,3,4,5,5,5,42,28.0
152,102103120,AB,AB,4,5,2,3,AB,4,5,4,5,2,34,22.7
153,102203138,4,3,AB,4,2,4,5,3,AB,AB,5,4,34,22.7
154,102203176,5,2,AB,5,4,4,4,5,5,5,AB,5,42,28.0
155,102203202,5,4,5,4,2,2,3,2,5,5,4,5,40,26.7
156,102203206,AB,AB,AB,AB,2,5,4,4,4,5,5,2,31,20.7
157,102203213,5,4,5,4,5,3,5,3,5,5,4,5,43,28.7
158,102203214,2,1,4,2,3,2,2,5,2,3,AB,3,26,17.3
159,102203216,5,1,4,3,4,2,3,5,4,5,5,5,40,26.7
160,102203220,5,3,5,4,2,3,3,5,5,3,5,5,40,26.7
161,102203222,5,2,5,5,5,4,4,5,5,4,4,4,42,28.0
162,102203223,5,3,5,5,3,5,5,4,5,5,4,5,44,29.3
163,102203225,2,3,4,3,5,1,3,5,4,5,5,AB,37,24.7
164,102203226,5,4,4,5,4,4,4,5,4,AB,5,4,40,26.7
165,102203229,3,3,5,4,3,4,4,AB,5,3,5,5,38,25.3
166,102203232,3,4,4,5,3,3,2,3,4,4,5,3,35,23.3
167,102203233,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,0,0.0
168,102203234,5,4,5,5,3,3,5,3,5,5,5,5,44,29.3
169,102203235,3,1,4,4,4,3,3,5,5,5,AB,5,38,25.3
170,102203236,5,4,5,4,3,5,3,AB,5,4,4,5,41,27.3
171,102203238,5,2,4,5,3,3,3,5,5,5,5,5,42,28.0
172,102203240,5,4,3,3,4,3,4,AB,4,5,AB,AB,35,23.3
173,102203241,2,2,2,5,2,5,5,2,5,5,5,2,36,24.0
174,102203242,5,2,5,4,0,5,4,5,5,5,5,4,43,28.7
175,102203243,4,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,4,2.7
176,102203244,4,2,3,4,5,2,3,4,5,AB,4,5,37,24.7
177,102203246,4,3,4,3,4,4,5,AB,AB,5,5,AB,37,24.7
178,102203248,5,3,2,AB,0,4,4,AB,5,AB,3,4,30,20.0
179,102203250,5,1,4,5,3,5,4,5,5,AB,4,4,41,27.3
180,102203252,5,3,5,4,3,3,4,4,5,AB,5,5,40,26.7
181,102203253,2,3,AB,AB,3,4,AB,4,5,3,5,AB,29,19.3
182,102203254,5,AB,AB,3,4,3,3,4,2,AB,5,2,31,20.7
183,102203255,4,2,2,AB,3,2,4,AB,5,5,5,5,35,23.3
184,102203256,4,1,2,2,AB,AB,3,3,5,5,5,2,31,20.7
185,102203259,4,4,3,4,5,4,5,4,5,5,5,5,42,28.0
186,102203260,4,3,2,5,4,5,2,4,4,AB,3,5,37,24.7
187,102203263,3,3,4,5,3,4,4,3,5,4,5,4,38,25.3
188,102203265,3,1,3,5,4,2,AB,4,0,AB,4,2,28,18.7
189,102203266,5,1,4,AB,4,AB,3,5,5,5,5,4,40,26.7
190,102203267,4,2,4,AB,5,4,4,4,AB,1,5,AB,33,22.0
191,102203270,4,5,AB,4,3,4,2,AB,5,4,5,2,36,24.0
192,102203272,5,2,4,4,3,2,4,5,4,5,5,5,41,27.3
193,102203273,3,1,4,3,2,4,4,AB,3,3,4,2,30,20.0
194,102203274,5,AB,3,5,4,5,AB,4,4,AB,AB,3,33,22.0
195,102203275,4,4,3,5,2,5,2,4,5,5,5,5,42,28.0
196,102203278,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,0,0.0
197,102203280,5,5,5,5,3,3,4,4,3,3,5,5,41,27.3
198,102203283,3,2,5,5,3,2,AB,3,5,4,5,2,35,23.3
199,102203284,3,1,5,5,4,4,4,5,4,2,5,5,41,27.3
200,102203285,5,2,3,5,3,4,4,AB,5,3,AB,4,36,24.0
201,102203288,4,AB,AB,2,2,4,5,3,3,5,5,4,35,23.3
202,102203289,AB,3,4,3,4,4,4,4,AB,AB,AB,5,31,20.7
203,102203291,5,3,3,4,AB,AB,4,4,5,4,4,4,37,24.7
204,102203292,5,5,4,4,AB,AB,5,5,5,5,5,5,44,29.3
205,102203293,5,1,5,5,4,3,2,5,4,4,5,3,40,26.7
206,102203295,2,1,2,3,2,3,1,4,3,AB,5,3,27,18.0
207,102203299,5,4,5,4,4,2,5,4,5,5,4,5,42,28.0
208,102203301,5,3,3,2,1,5,3,4,5,5,4,5,39,26.0
209,102203303,5,2,4,4,AB,AB,4,4,5,5,5,5,41,27.3
210,102203304,AB,4,AB,4,3,3,3,3,AB,4,5,5,34,22.7
211,102203305,4,4,5,3,3,1,4,5,5,AB,5,AB,38,25.3
212,102203307,AB,2,3,AB,4,4,5,5,5,5,5,2,38,25.3
213,102203308,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,0,0.0
214,102203309,5,3,5,4,3,3,4,4,5,3,5,4,39,26.0
215,102203310,3,5,4,4,3,5,5,5,4,4,5,5,42,28.0
216,102203312,AB,AB,3,4,3,2,5,3,4,AB,AB,3,27,18.0
217,102203313,4,5,4,AB,2,4,2,5,5,4,5,5,41,27.3
218,102203314,AB,5,5,5,4,4,1,5,AB,AB,5,5,39,26.0
219,102203317,4,1,4,5,2,2,2,4,5,1,5,4,35,23.3
220,102203321,0,4,5,4,4,2,4,4,5,5,5,5,41,27.3
221,102203322,AB,AB,AB,4,3,4,4,4,5,4,5,5,38,25.3
222,102203325,5,3,5,4,2,5,4,4,5,AB,5,5,42,28.0
223,102203326,AB,AB,AB,AB,AB,AB,2,5,5,5,AB,4,21,14.0
224,102203329,3,AB,5,4,3,2,3,3,2,3,AB,4,30,20.0
225,102203331,5,3,3,2,4,2,AB,0,5,4,5,5,36,24.0
226,102203332,4,5,AB,4,2,3,5,2,5,AB,5,3,36,24.0
227,102203334,5,3,AB,5,3,3,5,AB,2,3,3,AB,32,21.3
228,102203335,5,AB,3,AB,4,2,3,3,4,AB,2,3,29,19.3
229,102203337,5,2,5,4,4,4,5,4,AB,5,5,3,41,27.3
230,102203338,4,5,5,5,AB,AB,3,3,4,3,3,4,36,24.0
231,102203339,3,2,AB,4,4,0,3,3,1,2,4,2,27,18.0
232,102203341,3,AB,4,AB,2,4,AB,5,0,1,AB,3,22,14.7
233,102203343,4,AB,4,AB,0,3,4,4,4,5,5,4,37,24.7
234,102203344,4,1,4,4,4,4,4,2,5,5,5,5,40,26.7
235,102203345,2,1,2,5,AB,AB,3,4,5,5,5,4,35,23.3
236,102203348,5,5,3,4,2,2,4,2,4,5,5,5,40,26.7
237,102203349,AB,AB,4,5,AB,AB,5,4,5,AB,5,3,31,20.7
238,102203350,AB,1,5,4,4,3,3,5,4,5,5,4,39,26.0
239,102203351,3,AB,AB,4,5,2,4,2,1,4,5,2,31,20.7
240,102203352,5,2,2,2,5,2,3,3,5,5,5,3,36,24.0
241,102203353,3,5,5,4,4,3,3,5,5,4,4,5,41,27.3
242,102203356,5,4,4,5,3,3,4,AB,5,5,4,5,41,27.3
243,102203358,5,AB,3,3,5,4,2,5,2,4,5,5,39,26.0
244,102203359,5,4,5,4,5,4,0,4,5,5,5,2,42,28.0
245,102203362,5,4,3,5,5,5,5,4,4,5,4,AB,42,28.0
246,102203363,5,AB,4,5,2,4,4,AB,5,5,5,3,40,26.7
247,102203365,AB,3,4,AB,3,4,4,3,AB,AB,AB,5,26,17.3
248,102203366,5,4,5,5,3,4,5,4,4,5,5,5,43,28.7
249,102203369,5,3,4,4,3,5,4,4,5,3,5,4,40,26.7
250,102203371,3,AB,4,4,2,4,3,4,4,AB,5,2,33,22.0
251,102203372,4,AB,3,AB,3,2,AB,3,3,4,5,4,31,20.7
252,102203375,4,5,5,5,4,4,5,5,5,4,5,5,44,29.3
253,102203376,5,4,4,5,4,3,4,4,5,4,5,5,41,27.3
